Date,Open,High,Low,Close,Adj Close,Volume
2025-08-11,6149.26,6169.50,6130.63,6153.29,6153.29,251889834
2025-08-07,6156.76,6168.16,6123.69,6133.13,6133.13,211990000
2025-08-06,6167.13,6177.55,6138.32,6156.01,6156.01,143040000
2025-08-05,6125.60,6184.05,6122.77,6166.38,6166.38,146240000
2025-08-04,6111.97,6139.91,6069.80,6125.60,6125.60,130980000
2025-07-31,6209.16,6209.16,6153.48,6159.15,6159.15,169010000
2025-07-30,6177.81,6208.41,6159.10,6208.41,6208.41,164430000
2025-07-29,6169.19,6199.87,6135.82,6177.81,6177.81,179560000
2025-07-28,6151.21,6235.81,6150.95,6167.68,6167.68,332230000
2025-07-24,6086.19,6111.48,6069.71,6111.46,6111.46,284880000
2025-07-23,6024.79,6088.22,6024.01,6086.19,6086.19,166020000
2025-07-22,6045.04,6057.68,6004.01,6024.79,6024.79,188660000
2025-07-21,6114.81,6120.96,6034.67,6045.04,6045.04,234430000
2025-07-17,5976.69,6103.21,5969.78,6103.09,6103.09,231220000
2025-07-16,5914.80,5988.05,5905.26,5974.43,5974.43,268740000
2025-07-15,5856.58,5917.07,5856.17,5914.05,5914.05,455360000
2025-07-14,5854.99,5880.27,5828.45,5856.58,5856.58,381570000
2025-07-10,5834.54,5864.12,5818.21,5829.88,5829.88,611030000
2025-07-09,5795.14,5838.84,5784.37,5833.78,5833.78,654770000
2025-07-08,5801.87,5805.21,5751.81,5794.39,5794.39,287910000
2025-07-07,5754.02,5809.25,5754.02,5802.62,5802.62,236880000
2025-07-03,5669.15,5748.20,5668.74,5748.20,5748.20,218890000
2025-07-02,5694.00,5708.94,5657.80,5669.15,5669.15,222780000
2025-07-01,5707.27,5739.80,5685.02,5692.50,5692.50,307840000
2025-06-30,5683.91,5738.70,5682.14,5705.76,5705.76,386020000
2025-06-26,5614.15,5685.33,5613.76,5683.91,5683.91,436830000
2025-06-25,5594.52,5631.77,5592.78,5613.39,5613.39,228110000
2025-06-24,5424.08,5598.28,5424.08,5593.01,5593.01,429350000
2025-06-23,5352.35,5431.95,5332.91,5411.30,5411.30,360580000
2025-06-19,5305.53,5311.47,5232.87,5269.97,5269.97,201880000
2025-06-18,5372.36,5375.59,5299.90,5306.31,5306.31,194260000
2025-06-17,5407.78,5446.97,5370.33,5372.36,5372.36,404160000
2025-06-16,5364.69,5428.00,5332.08,5407.00,5407.00,270780000
2025-06-12,5594.73,5594.73,5443.54,5467.10,5467.10,367740000
2025-06-11,5600.22,5630.61,5574.89,5595.50,5595.50,373860000
2025-06-10,5595.84,5618.22,5576.00,5599.45,5599.45,552060000
2025-06-09,5536.70,5607.74,5536.58,5592.75,5592.75,788880000
2025-06-04,5523.40,5542.28,5512.24,5535.93,5535.93,341950000
2025-06-03,5484.72,5532.66,5484.51,5521.85,5521.85,314220000
2025-06-02,5480.51,5520.31,5458.16,5484.72,5484.72,231830000
2025-05-29,5526.54,5535.12,5474.61,5492.66,5492.66,232540000
2025-05-28,5503.83,5526.54,5489.40,5526.54,5526.54,182680000
2025-05-27,5487.56,5522.67,5487.56,5504.60,5504.60,161110000
2025-05-26,5464.93,5488.62,5454.94,5484.46,5484.46,109900000
2025-05-22,5439.19,5456.33,5424.84,5452.76,5452.76,127920000
2025-05-21,5468.86,5473.39,5433.77,5438.42,5438.42,128940000
2025-05-20,5492.03,5510.21,5458.78,5467.31,5467.31,206940000
2025-05-19,5453.87,5509.33,5443.41,5491.25,5491.25,196110000
2025-05-15,5360.49,5416.11,5358.50,5398.77,5398.77,177400000
2025-05-14,5365.00,5388.94,5344.07,5359.72,5359.72,214430000
2025-05-13,5334.71,5362.68,5333.82,5362.68,5362.68,190900000
2025-05-12,5311.78,5355.26,5311.32,5333.93,5333.93,179360000
2025-05-08,5337.52,5348.06,5305.54,5314.06,5314.06,105090000
2025-05-07,5352.97,5361.21,5313.67,5337.52,5337.52,126030000
2025-05-06,5343.13,5375.57,5316.56,5352.97,5352.97,141540000
2025-05-05,5291.37,5345.06,5277.07,5344.68,5344.68,140310000
2025-05-01,5307.93,5307.97,5250.42,5272.80,5272.80,122820000
2025-04-30,5242.08,5310.08,5216.19,5307.15,5307.15,221580000
2025-04-29,5218.02,5248.16,5217.70,5241.30,5241.30,134660000
