date,S,K,T,type,price
2023-01-18,3349.400000,2679.520000,0.082192,C,680.882245
2023-01-18,3349.400000,2679.520000,0.082192,P,0.013115
2023-01-18,3349.400000,3014.460000,0.082192,C,351.414687
2023-01-18,3349.400000,3014.460000,0.082192,P,4.111915
2023-01-18,3349.400000,3349.400000,0.082192,C,94.532905
2023-01-18,3349.400000,3349.400000,0.082192,P,80.796492
2023-01-18,3349.400000,3684.340000,0.082192,C,8.645241
2023-01-18,3349.400000,3684.340000,0.082192,P,328.475187
2023-01-18,3349.400000,4019.280000,0.082192,C,0.240995
2023-01-18,3349.400000,4019.280000,0.082192,P,653.637299
2023-01-18,3349.400000,2679.520000,0.246575,C,705.076619
2023-01-18,3349.400000,2679.520000,0.246575,P,2.364249
2023-01-18,3349.400000,3014.460000,0.246575,C,399.863720
2023-01-18,3349.400000,3014.460000,0.246575,P,27.987303
2023-01-18,3349.400000,3349.400000,0.246575,C,172.274924
2023-01-18,3349.400000,3349.400000,0.246575,P,131.234461
2023-01-18,3349.400000,3684.340000,0.246575,C,53.920406
2023-01-18,3349.400000,3684.340000,0.246575,P,343.715896
2023-01-18,3349.400000,4019.280000,0.246575,C,12.254921
2023-01-18,3349.400000,4019.280000,0.246575,P,632.886365
2023-01-18,3349.400000,2679.520000,0.493151,C,747.817932
2023-01-18,3349.400000,2679.520000,0.493151,P,12.675488
2023-01-18,3349.400000,3014.460000,0.493151,C,468.083516
2023-01-18,3349.400000,3014.460000,0.493151,P,59.723266
2023-01-18,3349.400000,3349.400000,0.493151,C,255.218770
2023-01-18,3349.400000,3349.400000,0.493151,P,173.640715
2023-01-18,3349.400000,3684.340000,0.493151,C,121.046395
2023-01-18,3349.400000,3684.340000,0.493151,P,366.250535
2023-01-18,3349.400000,4019.280000,0.493151,C,50.275499
2023-01-18,3349.400000,4019.280000,0.493151,P,622.261832
2023-01-19,3353.110000,2682.488000,0.082192,C,681.635194
2023-01-19,3353.110000,2682.488000,0.082192,P,0.011891
2023-01-19,3353.110000,3017.799000,0.082192,C,351.674974
2023-01-19,3353.110000,3017.799000,0.082192,P,3.987509
2023-01-19,3353.110000,3353.110000,0.082192,C,94.064894
2023-01-19,3353.110000,3353.110000,0.082192,P,80.313266
2023-01-19,3353.110000,3688.421000,0.082192,C,8.427514
2023-01-19,3353.110000,3688.421000,0.082192,P,328.611723
2023-01-19,3353.110000,4023.732000,0.082192,C,0.225903
2023-01-19,3353.110000,4023.732000,0.082192,P,654.345949
2023-01-19,3353.110000,2682.488000,0.246575,C,705.759527
2023-01-19,3353.110000,2682.488000,0.246575,P,2.268789
2023-01-19,3353.110000,3017.799000,0.246575,C,399.758238
2023-01-19,3353.110000,3017.799000,0.246575,P,27.469908
2023-01-19,3353.110000,3353.110000,0.246575,C,171.482773
2023-01-19,3353.110000,3353.110000,0.246575,P,130.396851
2023-01-19,3353.110000,3688.421000,0.246575,C,53.185353
2023-01-19,3353.110000,3688.421000,0.246575,P,343.301838
2023-01-19,3353.110000,4023.732000,0.246575,C,11.931657
2023-01-19,3353.110000,4023.732000,0.246575,P,633.250549
2023-01-19,3353.110000,2682.488000,0.493151,C,748.258766
2023-01-19,3353.110000,2682.488000,0.493151,P,12.302033
2023-01-19,3353.110000,3017.799000,0.493151,C,467.657246
2023-01-19,3353.110000,3017.799000,0.493151,P,58.844672
2023-01-19,3353.110000,3353.110000,0.493151,C,254.130228
2023-01-19,3353.110000,3353.110000,0.493151,P,172.461812
2023-01-19,3353.110000,3688.421000,0.493151,C,119.843024
2023-01-19,3353.110000,3688.421000,0.493151,P,365.318766
2023-01-19,3353.110000,4023.732000,0.493151,C,49.358578
2023-01-19,3353.110000,4023.732000,0.493151,P,621.978479
2023-01-23,3349.950000,2679.960000,0.082192,C,680.992937
2023-01-23,3349.950000,2679.960000,0.082192,P,0.012002
2023-01-23,3349.950000,3014.955000,0.082192,C,351.356246
2023-01-23,3349.950000,3014.955000,0.082192,P,3.996445
2023-01-23,3349.950000,3349.950000,0.082192,C,94.032654
2023-01-23,3349.950000,3349.950000,0.082192,P,80.293985
2023-01-23,3349.950000,3684.945000,0.082192,C,8.441971
2023-01-23,3349.950000,3684.945000,0.082192,P,328.324436
2023-01-23,3349.950000,4019.940000,0.082192,C,0.227204
