date,S,K,r,sigma,T,type,q
2023-01-18,3349.4,2679.52,0.05,0.22901592299014017,0.0821917808219178,C,0.0
2023-01-18,3349.4,2679.52,0.05,0.22901592299014017,0.0821917808219178,P,0.0
2023-01-18,3349.4,3014.46,0.05,0.22901592299014017,0.0821917808219178,C,0.0
2023-01-18,3349.4,3014.46,0.05,0.22901592299014017,0.0821917808219178,P,0.0
2023-01-18,3349.4,3349.4,0.05,0.22901592299014017,0.0821917808219178,C,0.0
2023-01-18,3349.4,3349.4,0.05,0.22901592299014017,0.0821917808219178,P,0.0
2023-01-18,3349.4,3684.34,0.05,0.22901592299014017,0.0821917808219178,C,0.0
2023-01-18,3349.4,3684.34,0.05,0.22901592299014017,0.0821917808219178,P,0.0
2023-01-18,3349.4,4019.28,0.05,0.22901592299014017,0.0821917808219178,C,0.0
2023-01-18,3349.4,4019.28,0.05,0.22901592299014017,0.0821917808219178,P,0.0
2023-01-18,3349.4,2679.52,0.05,0.22901592299014017,0.2465753424657534,C,0.0
2023-01-18,3349.4,2679.52,0.05,0.22901592299014017,0.2465753424657534,P,0.0
2023-01-18,3349.4,3014.46,0.05,0.22901592299014017,0.2465753424657534,C,0.0
2023-01-18,3349.4,3014.46,0.05,0.22901592299014017,0.2465753424657534,P,0.0
2023-01-18,3349.4,3349.4,0.05,0.22901592299014017,0.2465753424657534,C,0.0
2023-01-18,3349.4,3349.4,0.05,0.22901592299014017,0.2465753424657534,P,0.0
2023-01-18,3349.4,3684.34,0.05,0.22901592299014017,0.2465753424657534,C,0.0
2023-01-18,3349.4,3684.34,0.05,0.22901592299014017,0.2465753424657534,P,0.0
2023-01-18,3349.4,4019.28,0.05,0.22901592299014017,0.2465753424657534,C,0.0
2023-01-18,3349.4,4019.28,0.05,0.22901592299014017,0.2465753424657534,P,0.0
2023-01-18,3349.4,2679.52,0.05,0.22901592299014017,0.4931506849315068,C,0.0
2023-01-18,3349.4,2679.52,0.05,0.22901592299014017,0.4931506849315068,P,0.0
2023-01-18,3349.4,3014.46,0.05,0.22901592299014017,0.4931506849315068,C,0.0
2023-01-18,3349.4,3014.46,0.05,0.22901592299014017,0.4931506849315068,P,0.0
2023-01-18,3349.4,3349.4,0.05,0.22901592299014017,0.4931506849315068,C,0.0
2023-01-18,3349.4,3349.4,0.05,0.22901592299014017,0.4931506849315068,P,0.0
2023-01-18,3349.4,3684.34,0.05,0.22901592299014017,0.4931506849315068,C,0.0
2023-01-18,3349.4,3684.34,0.05,0.22901592299014017,0.4931506849315068,P,0.0
2023-01-18,3349.4,4019.28,0.05,0.22901592299014017,0.4931506849315068,C,0.0
2023-01-18,3349.4,4019.28,0.05,0.22901592299014017,0.4931506849315068,P,0.0
2023-01-19,3353.11,2682.488,0.05,0.22751497828670458,0.0821917808219178,C,0.0
2023-01-19,3353.11,2682.488,0.05,0.22751497828670458,0.0821917808219178,P,0.0
2023-01-19,3353.11,3017.799,0.05,0.22751497828670458,0.0821917808219178,C,0.0
2023-01-19,3353.11,3017.799,0.05,0.22751497828670458,0.0821917808219178,P,0.0
2023-01-19,3353.11,3353.11,0.05,0.22751497828670458,0.0821917808219178,C,0.0
2023-01-19,3353.11,3353.11,0.05,0.22751497828670458,0.0821917808219178,P,0.0
2023-01-19,3353.11,3688.421,0.05,0.22751497828670458,0.0821917808219178,C,0.0
2023-01-19,3353.11,3688.421,0.05,0.22751497828670458,0.0821917808219178,P,0.0
2023-01-19,3353.11,4023.732,0.05,0.22751497828670458,0.0821917808219178,C,0.0
2023-01-19,3353.11,4023.732,0.05,0.22751497828670458,0.0821917808219178,P,0.0
2023-01-19,3353.11,2682.488,0.05,0.22751497828670458,0.2465753424657534,C,0.0
2023-01-19,3353.11,2682.488,0.05,0.22751497828670458,0.2465753424657534,P,0.0
2023-01-19,3353.11,3017.799,0.05,0.22751497828670458,0.2465753424657534,C,0.0
2023-01-19,3353.11,3017.799,0.05,0.22751497828670458,0.2465753424657534,P,0.0
2023-01-19,3353.11,3353.11,0.05,0.22751497828670458,0.2465753424657534,C,0.0
2023-01-19,3353.11,3353.11,0.05,0.22751497828670458,0.2465753424657534,P,0.0
2023-01-19,3353.11,3688.421,0.05,0.22751497828670458,0.2465753424657534,C,0.0
2023-01-19,3353.11,3688.421,0.05,0.22751497828670458,0.2465753424657534,P,0.0
2023-01-19,3353.11,4023.732,0.05,0.22751497828670458,0.2465753424657534,C,0.0
2023-01-19,3353.11,4023.732,0.05,0.22751497828670458,0.2465753424657534,P,0.0
2023-01-19,3353.11,2682.488,0.05,0.22751497828670458,0.4931506849315068,C,0.0
2023-01-19,3353.11,2682.488,0.05,0.22751497828670458,0.4931506849315068,P,0.0
2023-01-19,3353.11,3017.799,0.05,0.22751497828670458,0.4931506849315068,C,0.0
2023-01-19,3353.11,3017.799,0.05,0.22751497828670458,0.4931506849315068,P,0.0
2023-01-19,3353.11,3353.11,0.05,0.22751497828670458,0.4931506849315068,C,0.0
2023-01-19,3353.11,3353.11,0.05,0.22751497828670458,0.4931506849315068,P,0.0
2023-01-19,3353.11,3688.421,0.05,0.22751497828670458,0.4931506849315068,C,0.0
2023-01-19,3353.11,3688.421,0.05,0.22751497828670458,0.4931506849315068,P,0.0
2023-01-19,3353.11,4023.732,0.05,0.22751497828670458,0.4931506849315068,C,0.0
2023-01-19,3353.11,4023.732,0.05,0.22751497828670458,0.4931506849315068,P,0.0
2023-01-23,3349.95,2679.96,0.05,0.2276629475693625,0.0821917808219178,C,0.0
2023-01-23,3349.95,2679.96,0.05,0.2276629475693625,0.0821917808219178,P,0.0
2023-01-23,3349.95,3014.955,0.05,0.2276629475693625,0.0821917808219178,C,0.0
2023-01-23,3349.95,3014.955,0.05,0.2276629475693625,0.0821917808219178,P,0.0
2023-01-23,3349.95,3349.95,0.05,0.2276629475693625,0.0821917808219178,C,0.0
2023-01-23,3349.95,3349.95,0.05,0.2276629475693625,0.0821917808219178,P,0.0
2023-01-23,3349.95,3684.945,0.05,0.2276629475693625,0.0821917808219178,C,0.0
2023-01-23,3349.95,3684.945,0.05,0.2276629475693625,0.0821917808219178,P,0.0
2023-01-23,3349.95,4019.94,0.05,0.2276629475693625,0.0821917808219178,C,0.0
2023-01-23,3349.95,4019.94,0.05,0.2276629475693625,0.0821917808219178,P,0.0
2023-01-23,3349.95,2679.96,0.05,0.2276629475693625,0.2465753424657534,C,0.0
2023-01-23,3349.95,2679.96,0.05,0.2276629475693625,0.2465753424657534,P,0.0
2023-01-23,3349.95,3014.955,0.05,0.2276629475693625,0.2465753424657534,C,0.0
2023-01-23,3349.95,3014.955,0.05,0.2276629475693625,0.2465753424657534,P,0.0
2023-01-23,3349.95,3349.95,0.05,0.2276629475693625,0.2465753424657534,C,0.0
2023-01-23,3349.95,3349.95,0.05,0.2276629475693625,0.2465753424657534,P,0.0
2023-01-23,3349.95,3684.945,0.05,0.2276629475693625,0.2465753424657534,C,0.0
